,artist_name,end_time,ms_played,track_name,track_id
140,JID,2022-05-06 16:05,156780,151 Rum,22WV03i2lBbwNVCE1g671p
141,Drake,2022-05-06 16:09,220487,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B
142,Kendrick Lamar,2022-05-06 16:12,177000,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS
143,Dreamville,2022-05-06 16:14,123413,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,2gtFMLjQpCTGekMi4oXZxN
144,A$AP ANT,2022-05-06 16:16,155076,The God Hour,4Acntw4W2FfI7CDAIsCBjq
145,A$AP Rocky,2022-05-06 16:19,164778,Pretty Flacko,1j6kDJttn6wbVyMaM42Nxm
146,A$AP Rocky,2022-05-06 16:21,113174,Long Live A$AP,60Mq4EumvcSXznNugo9Op3
147,Vince Staples,2022-05-06 16:23,131697,Hell Bound - Ad 01,6tTy7jzu0pDDn6bE5NaaEJ
148,Vince Staples,2022-05-06 16:26,183160,Norf Norf,4uQ7wYsuL0DryknoDc11Hk
149,Vince Staples,2022-05-06 16:28,125120,Outside!,1FVUFtrQnIqgwEXrRb2Qrr
150,BØRNS,2022-05-06 16:29,859,The Emotion,03YZnK3XQWKpvo9TyNZzXf
151,BØRNS,2022-05-06 16:29,16744,The Emotion,03YZnK3XQWKpvo9TyNZzXf
152,BØRNS,2022-05-06 16:29,1044,The Emotion,03YZnK3XQWKpvo9TyNZzXf
153,RECIDENT,2022-05-06 16:29,14535,baby girl,2cSdAkzAf2T4j4aLvx4LLz
154,NAV,2022-05-06 16:32,174367,Status (feat. Lil Uzi Vert),6KhmSJf9FvdAcq1tr8LcYD
155,Childish Gambino,2022-05-06 16:35,195640,Backpackers,5NHrileSKnB4rAhuvsl46i
156,Future,2022-05-06 16:40,200830,Thought It Was a Drought,5ihDGnhQgMA0F0tk9fNLlA
157,Southside,2022-05-06 16:55,6101,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK
158,Vince Staples,2022-05-06 17:00,9194,Norf Norf,4uQ7wYsuL0DryknoDc11Hk
159,Drake,2022-05-06 17:00,1600,Lemon Pepper Freestyle (feat. Rick Ross),4FRW5Nza1Ym91BGV4nFWXI
160,NAV,2022-05-06 17:00,2474,Status (feat. Lil Uzi Vert),6KhmSJf9FvdAcq1tr8LcYD
161,NAV,2022-05-06 17:04,228106,Held Me Down,0jiW3PNiHJxOhWh9oPBJ7m
162,Sugarland,2022-05-06 17:08,215106,Babe,7fRruZ12gXGwBs0zXQ6e5V
163,Drake,2022-05-06 17:11,212613,Under Ground Kings,1D9XLqQp2YYiOxrr5KLb8K
164,RADWIMPS,2022-05-06 17:12,28200,Grand Escape (Movie Edit) [feat. Toko Miura],2cE5PbW9PhPmnyETXqH3VE
165,6LACK,2022-05-06 17:15,186433,Never Know,4bJX21zvsGJELwVNf902qk
166,Jhené Aiko,2022-05-06 17:19,276960,Sativa,2pg2TiYo9Rb8KeB5JjP7jS
167,Lana Del Rey,2022-05-06 17:24,257573,High By The Beach,7g3htkaLz4ETFn0cifwM3y
168,A$AP Rocky,2022-05-06 17:28,238306,L$D,4S7YHmlWwfwArgd8LfSPud
169,Travis Scott,2022-05-06 17:32,270714,STARGAZING,7wBJfHzpfI3032CSD7CE2m
170,Tove Lo,2022-05-06 17:36,209160,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB
171,Tame Impala,2022-05-06 17:39,192960,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW
172,A$AP Rocky,2022-05-06 17:42,183809,Bad Company (feat. BlocBoy JB),3ZYwSDF9knZI0RVlKR4PHC
173,2 Chainz,2022-05-06 17:46,210200,It's A Vibe,6H0AwSQ20mo62jGlPGB8S6
174,Kodak Black,2022-05-06 17:50,264531,Codeine Dreaming (feat. Lil Wayne),4DTpngLjoHj5gFxEZFeD3J
175,$NOT,2022-05-06 17:53,187586,Moon & Stars (feat. Maggie Lindemann),3oGbHF3Kdwf3AsRCbBjUxu
176,"Tyler, The Creator",2022-05-06 17:56,180386,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB
177,Labrinth,2022-05-06 17:59,153294,Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV
178,A$AP Rocky,2022-05-06 18:02,192973,Fukk Sleep (feat. FKA twigs),1AqemxWsT0iGg5Lvkm16Bt
179,Frank Ocean,2022-05-06 18:06,234272,Ivy,2ZWlPOoWh0626oTaHrnl2a
180,Joji,2022-05-06 18:06,5549,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d
181,Kendrick Lamar,2022-05-06 18:12,310720,"Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh
182,Kendrick Lamar,2022-05-06 18:18,386906,Money Trees,2HbKqm4o0w5wEeEFXm2sD4
183,The Weeknd,2022-05-06 18:21,62198,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz
184,NAV,2022-05-06 18:24,174367,Status (feat. Lil Uzi Vert),6KhmSJf9FvdAcq1tr8LcYD
185,Baby Keem,2022-05-06 18:32,194232,BULLIES,5Ow3QqHeeA78Q3nSnbUbkL
186,Foster The People,2022-05-06 18:36,243146,Sit Next to Me,4BdGO1CaObRD4La9l5Zanz
187,iann dior,2022-05-06 18:39,188583,shots in the dark (with Trippie Redd),03m2VS3eYqKwbHvEykTYl5
188,The Neighbourhood,2022-05-06 18:48,47985,Stargazing,0VF7YLIxSQKyNiFL3X6MmN
189,Travis Scott,2022-05-06 18:52,231826,Pornography,2QeQNF182V61Im0QpjdVta
190,Travis Scott,2022-05-06 19:24,72270,3500 (feat. Future & 2 Chainz),1SGt65i9AnXYdDQt1AtDRH
191,Childish Gambino,2022-05-06 19:28,3611,My Shine,146EkdID2XSngct4gG8NQl
192,A$AP Rocky,2022-05-06 19:28,580,"Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)",5x8NgG7Ya18m9wafOvvWYk
193,Childish Gambino,2022-05-06 19:28,233405,Lights Turned On,48otelBlQznqDX6Uuio485
194,Childish Gambino,2022-05-06 19:31,212663,My Shine,146EkdID2XSngct4gG8NQl
195,A$AP Rocky,2022-05-06 19:34,41001,"Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)",5x8NgG7Ya18m9wafOvvWYk
196,Skrillex,2022-05-06 20:07,15023,Purple Lamborghini (with Rick Ross),6JyuJFedEvPmdWQW0PkbGJ
197,Calvin Harris,2022-05-06 20:08,3181,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)",0Ws8D3EWUDgY962Xftb0h5
198,Shelley FKA DRAM,2022-05-06 20:14,7964,Caretaker (feat. SZA),4XQQovRSltOGWevTCgacXY
199,A$AP Rocky,2022-05-06 20:57,2252,Peso,3tTpvK7QgjjQCKGnHt5xn3
200,A$AP Rocky,2022-05-06 21:39,1787,L$D,4S7YHmlWwfwArgd8LfSPud
201,Kendrick Lamar,2022-05-06 21:39,1369,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As
202,Kanye West,2022-05-06 21:39,2020,Flashing Lights,5TRPicyLGbAF2LGBFbHGvO
203,Cuco,2022-05-06 21:42,208067,Summer Time High Time,7t5MUcFIIayP1M6TNhtWE0
204,Sarah and the Sundays,2022-05-06 21:46,187344,Ruby Fields,1gztFMEaH1IZmoPnlcuq8o
205,Flume,2022-05-06 21:48,139662,The Difference,4nlvKIIetOWGIMyhjQXgOZ
206,YOUNG $ELLOUT,2022-05-06 21:51,196568,NOT FAIR (slowed),3X9DJqqtiG2Uh48TDhtMgn
207,Wiz Khalifa,2022-05-06 21:55,249287,So High (feat. Ghost Loft),0odHj0qIf86vHBsXB30IkZ
208,Khalid,2022-05-06 21:59,202546,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
209,THE ANXIETY,2022-05-06 22:01,162680,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG
210,lilspirit,2022-05-06 22:04,134794,come home,00sW2XvxZzOneJ4BnJYi4W
211,underscores,2022-05-06 22:05,97391,moniker,5oLnXmEdr6h92pFNtBgJVR
212,PinkPantheress,2022-05-06 22:07,115800,Just for me,6OTKVgVpVaVjhRLYizPJKA
