,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
49,49,49,49,5Z3GHaZ6ec9bsiI5BenrbY,0.539,0.165,136.948,0.0421,0.199,1.66e-05,0.799,202547,-6.351,0.394,1,1
50,50,50,50,5u1n1kITHCxxp8twBcZxWy,0.704,0.0898,86.919,0.36,0.196,0.0,0.673,212093,-8.056,0.372,1,6
51,51,51,51,4evmHXcjt3bTUHD1cvny97,0.648,0.0802,92.977,0.187,0.124,0.0,0.64,197867,-8.113,0.548,0,5
52,52,52,52,05nbZ1xxVNwUTcGwLbp7CN,0.398,0.115,80.032,0.171,0.648,1.26e-06,0.749,226040,-7.44,0.0859,0,5
53,53,53,53,6xRNqXP3baPR9buXr8vreM,0.657,0.108,73.008,0.0425,0.108,0.0,0.569,200548,-6.639,0.111,1,0
54,54,54,54,5rZlwNFl01HqLWBQGryKSm,0.602,0.0848,179.798,0.368,0.487,0.0,0.48,213333,-6.335,0.269,0,10
55,55,55,55,5jYe1mOKg5zUx0enf1DOdz,0.412,0.0546,130.015,0.0445,0.184,0.0,0.711,203538,-6.827,0.186,1,9
56,56,56,56,7KVPsVMOK3NL7subwJ0dZj,0.756,0.23,115.69,0.188,0.0942,0.0,0.916,151539,-7.653,0.756,1,0
57,57,57,57,5sBplhIrmzA4kQGyIOpmDf,0.549,0.11,140.045,0.0602,0.168,0.0,0.832,181496,-8.259,0.384,0,1
58,58,58,58,3OPozjaFwjjmrgdkUMV9TD,0.454,0.117,135.019,0.0579,0.0671,0.0,0.736,144103,-10.922,0.788,1,8
59,59,59,59,34nzen9vQclFJN8ypTfWk4,0.684,0.199,75.554,0.101,0.426,0.0,0.644,171656,-4.867,0.487,1,10
60,60,60,60,2BHAoBv6pPdFkyzvG5GueA,0.335,0.0981,105.002,0.202,0.626,4.84e-05,0.881,174759,-11.696,0.48,0,7
61,61,61,61,3B54sVLJ402zGa6Xm4YGNe,0.769,0.104,97.985,0.123,0.0293,0.0101,0.726,233902,-5.043,0.733,1,6
62,62,62,62,1Ct6q8dBVeX9nrF9WBPyYl,0.543,0.12,93.017,0.167,0.294,3.87e-06,0.838,145806,-12.841,0.708,1,8
63,63,63,63,3swc6WTsr7rl9DqQKQA55C,0.56,0.111,140.06,0.105,0.546,0.0,0.75,221440,-8.094,0.459,1,8
64,64,64,64,2dzja72gQodveSpguIQGJl,0.567,0.0884,95.034,0.135,0.156,0.0,0.815,151641,-4.653,0.732,0,10
65,65,65,65,5RsKelNxucrDxgMbZ3vd3W,0.563,0.119,86.005,0.0425,0.326,0.0,0.716,160465,-5.486,0.495,1,3
66,66,66,66,35RJhm1pEovTBwnNR0zWad,0.343,0.107,85.84,0.0432,0.0743,1.04e-06,0.695,218902,-10.798,0.229,1,5
67,67,67,67,5JboK5zbbhXIN7iN9NHS8t,0.399,0.0747,98.004,0.0369,0.0224,0.0,0.696,156770,-8.673,0.364,0,4
68,68,68,68,4loM16743hROPC6uIJG6wM,0.577,0.111,117.089,0.271,0.353,0.0,0.873,149133,-9.151,0.956,1,1
69,69,69,69,02mYw61RoS1vXvkD9Q5dpN,0.507,0.116,111.994,0.162,0.0562,0.0,0.889,154667,-8.74,0.219,1,2
70,70,70,70,7lAK3oHbfEnvUQWosrMMpR,0.554,0.116,128.047,0.0409,0.283,3.4e-06,0.785,150043,-6.571,0.144,1,0
71,71,71,71,5HQVUIKwCEXpe7JIHyY734,0.655,0.115,95.078,0.137,0.0525,0.0,0.715,207333,-6.425,0.531,1,0
72,72,72,72,4GurWpxvH3NoWz9f9wirPq,0.642,0.359,128.022,0.194,0.238,0.0,0.695,209848,-6.13,0.316,0,1
73,73,73,73,5NhlpQ6BOIz3S5welptk1W,0.562,0.561,98.094,0.0305,0.124,1.58e-05,0.707,252026,-7.621,0.418,1,0
74,74,74,74,07KXEDMj78x68D884wgVEm,0.499,0.3,97.956,0.114,0.269,0.0,0.831,220487,-8.442,0.511,0,11
75,75,75,75,2SAqBLGA283SUiwJ3xOUVI,0.518,0.107,133.976,0.134,0.244,3.47e-05,0.761,261493,-8.871,0.522,1,0
76,76,76,76,6wJYhPfqk3KGhHRG76WzOh,0.554,0.132,99.034,0.0383,0.207,0.0,0.774,162547,-7.909,0.349,1,0
77,77,77,77,2uwnP6tZVVmTovzX5ELooy,0.608,0.426,99.992,0.216,0.324,0.000198,0.667,241160,-7.054,0.475,1,1
78,78,78,78,4iz9lGMjU1lXS51oPmUmTe,0.747,0.115,86.917,0.189,0.337,0.0,0.667,203493,-7.059,0.918,1,1
79,79,79,79,5lLNBIyjp72btcnrjBG751,0.632,0.353,81.446,0.346,0.0526,0.0,0.618,306257,-6.973,0.319,1,11
80,80,80,80,2cnKST6T9qUo2i907lm8zX,0.713,0.617,65.988,0.187,0.127,0.0,0.725,148421,-6.173,0.207,0,4
81,81,81,81,4VXIryQMWpIdGgYR4TrjT1,0.529,0.0856,161.989,0.307,0.0769,0.000335,0.671,165820,-7.226,0.203,1,0
82,82,82,82,6f44p3Kc4ayD9VtbC9Clkr,0.734,0.165,145.722,0.0974,0.136,0.000901,0.732,199500,-7.968,0.488,1,11
83,83,83,83,7z3rc7SCgjbAztt1cbXkVj,0.433,0.121,115.868,0.175,0.0344,2.13e-06,0.841,182069,-7.699,0.332,0,0
84,84,84,84,2u7mxWSeoqTXndK5e08jMp,0.646,0.338,79.993,0.17,0.157,0.0,0.745,203908,-6.987,0.46,0,6
